car_name,car_versions,car_price_in_rupees,fuel_type,city,year_of_manufacture,car_age
Hyundai, Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],5.41 Lakh,Petrol,Mumbai,2016,7
Hyundai ,Elite i20 Asta 1.2,4.46 Lakh,Petrol,Kolkata,2015,8
Hyundai ,Elite i20 Magna Executive 1.2,6.75 Lakh,Petrol,Ahmedabad,2017,6
Volkswagen, Vento Comfortline Diesel AT,5.5 Lakh,Diesel,Thane,2014,9
MG, Hector Plus Sharp 1.5 Petrol Turbo DCT 6-STR,17 Lakh,Petrol,Kolkata,2021,2
Maruti Suzuki ,Wagon R 1.0 VXI+ (O),4.67 Lakh,Petrol,Pune,2018,5
Maruti Suzuki, Ertiga VXi AT,10.45 Lakh,Petrol,Mumbai,2019,4
Maruti Suzuki, Wagon R 1.0 LXI CNG,4.06 Lakh,CNG,Delhi,2017,6
Maruti Suzuki, Vitara Brezza ZDi Plus,8.75 Lakh,Diesel,Ahmedabad,2018,5
Hyundai, i20 Magna 1.2,2.59 Lakh,Petrol,Delhi,2011,12
Chevrolet ,Cruze LTZ AT,6.9 Lakh,Diesel,Ahmedabad,2015,8
Maruti Suzuki, Ritz Zxi BS-IV,3.21 Lakh,Petrol,Delhi,2014,9
Honda, Brio VX AT,5.75 Lakh,Petrol,Ahmedabad,2017,6
Hyundai ,Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],5.45 Lakh,Petrol,Ahmedabad,2018,5
Maruti Suzuki, Wagon R 1.0 VXI,2.99 Lakh,Petrol,Kolkata,2014,9
Toyota, Camry Hybrid,18.9 Lakh,Petrol,Kolkata,2017,6
Honda ,City VX CVT,14.5 Lakh,Petrol,Thane,2021,2
Hyundai ,Elite i20 Sportz 1.2,5.91 Lakh,Petrol,Mumbai,2017,6
Maruti Suzuki, Baleno Delta 1.2,5.68 Lakh,Petrol,Kolkata,2019,4
Maruti Suzuki, Ritz Vxi BS-IV,2.5 Lakh,Petrol,Kolkata,2014,9
Tata ,Nexon XT [2017-2019],6.9 Lakh,Petrol,Kolkata,2018,5
Jeep ,Compass Limited Plus Petrol AT [2018-2020],18.75 Lakh,Petrol,Mumbai,2019,4
Tata ,Tigor Revotron XZ,7.09 Lakh,Petrol,Chennai,2021,2
Hyundai, Grand i10 Sports Edition 1.2L Kappa VTVT,5.69 Lakh,Petrol,Bangalore,2015,8
Hyundai ,Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],5.95 Lakh,Petrol,Thane,2016,7
Toyota ,Corolla Altis G AT Petrol,10.25 Lakh,Petrol,Pallikarnai,2015,8
Hyundai, Creta E Plus 1.6 Petrol,10.5 Lakh,Petrol,Hyderabad,2018,5
Maruti Suzuki, Ciaz S 1.4 MT,7.15 Lakh,Petrol,Ahmedabad,2017,6
Tata ,Tiago XZ Plus,6.79 Lakh,Petrol,Bangalore,2020,3
Kia ,Seltos HTX 1.5 [2020-2021],15.45 Lakh,Petrol,Bangalore,2020,3
Hyundai ,i20 Asta (O) 1.2 MT,9.6 Lakh,Petrol,Thane,2021,2
Maruti Suzuki ,Wagon R 1.0 VXI,3.32 Lakh,Petrol,Kolkata,2014,9
Maruti Suzuki ,Dzire VDi,7.25 Lakh,Diesel,Thane,2018,5
Honda ,City 1.5 S MT,3.95 Lakh,Petrol,Mumbai,2012,11
Hyundai ,Elite i20 Asta 1.2 (O) [2019-2020],8.01 Lakh,Petrol,Delhi,2019,4
Maruti Suzuki, Vitara Brezza VDi (O) [2016-2018],9.45 Lakh,Diesel,Hyderabad,2019,4
Hyundai ,Creta E Plus 1.4 CRDI,9.7 Lakh,Diesel,Pune,2017,6
Hyundai ,Creta SX Plus 1.6  Petrol,9.25 Lakh,Petrol,Thane,2017,6
Maruti Suzuki ,Alto 800 Lxi,2.81 Lakh,Petrol,Kolkata,2018,5
Hyundai, Elite i20 Magna Executive 1.2,6.75 Lakh,Petrol,Thane,2019,4
Honda, Amaze 1.2 S i-VTEC,3.9 Lakh,Petrol,Pune,2014,9
Hyundai ,Elite i20 Asta 1.2 (O) [2016],5.75 Lakh,Petrol,Kolkata,2017,6
Hyundai ,i10 Magna 1.2 Kappa2,2.45 Lakh,Petrol,Thane,2012,11
Hyundai ,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],5.4 Lakh,Petrol,Thane,2019,4
Hyundai ,Venue SX (O) 1.5 CRDi,11.5 Lakh,Diesel,Ambattur,2021,2
Honda, City SV CVT,6.5 Lakh,Petrol,Thane,2015,8
Maruti Suzuki, Eeco 5 STR WITH A/C+HTR CNG [2017-2019],6.45 Lakh,CNG,Mumbai,2021,2
Honda, City ZX CVT Petrol,15.9 Lakh,Petrol,Hyderabad,2021,2
Maruti Suzuki ,Ciaz Alpha Hybrid 1.5 [2018-2020],8.5 Lakh,Petrol,Kolkata,2020,3
Maruti Suzuki, S-Presso VXi Plus,4.65 Lakh,Petrol,Mumbai,2020,3
Maruti Suzuki ,Wagon R 1.0 LXI CNG,4.51 Lakh,CNG,Pune,2017,6
Mercedes-Benz, CLA 200 Petrol Sport,25.9 Lakh,Petrol,Ahmedabad,2018,5
MG ,Hector Sharp 1.5 Petrol CVT,18.75 Lakh,Petrol,Mumbai,2021,2
Honda, City V CVT Petrol [2017-2019],7.3 Lakh,Petrol,Ahmedabad,2017,6
Audi ,A4 2.0 TDI (143 bhp),15 Lakh,Diesel,Hyderabad,2012,11
Mercedes-Benz, GLE 350 d,38.5 Lakh,Diesel,Hyderabad,2015,8
Toyota ,Corolla Altis VL AT Petrol,13.94 Lakh,Petrol,Kolkata,2018,5
Hyundai ,Elite i20 Asta 1.2,7.79 Lakh,Petrol,Bangalore,2018,5
Toyota, Innova Crysta ZX 2.4 AT 7 STR,29.75 Lakh,Diesel,Thane,2021,2
Jeep ,Grand Cherokee SRT [2016-2020],53 Lakh,Petrol,Kolkata,2017,6
MG, ZS EV Exclusive [2020-2021],19.19 Lakh,Electric,Bangalore,2020,3
Mahindra, Marazzo M6 Plus 8 STR,14.85 Lakh,Diesel,Chennai,2021,2
Land Rover ,Range Rover Sport SE 3.0 Diesel [2018-2020],1.36 Crore,Diesel,Bangalore,2019,4
Maruti Suzuki ,Wagon R 1.0 VXI,4.11 Lakh,Petrol,Kolkata,2018,5
Toyota, Etios Liva GD,5.4 Lakh,Diesel,Bangalore,2013,10
Kia, Seltos GTX Plus AT 1.5 Diesel [2019-2020],18.5 Lakh,Diesel,Hyderabad,2020,3
MG, Hector Sharp 2.0 Diesel [2019-2020],16.99 Lakh,Diesel,Bangalore,2019,4
Tata, Nexon XM,9.29 Lakh,Petrol,Chennai,2020,3
Maruti Suzuki, Vitara Brezza VDi,7 Lakh,Diesel,Thane,2016,7
Volkswagen ,Passat 1.8L TSI,3.35 Lakh,Petrol,Kolkata,2010,13
Ford ,EcoSport Titanium 1.5L Ti-VCT AT,6.79 Lakh,Petrol,Mumbai,2017,6
Honda, City ZX CVT Petrol [2017-2019],10.09 Lakh,Petrol,Pune,2017,6
Mercedes-Benz ,GLE 300d 4MATIC LWB,86 Lakh,Diesel,Pune,2020,3
